material_id,cpse_id,sector,plant_code,source_material_code,material_type,material_description,technical_spec_text,uom,existing_material_group,unit_price_inr,current_stock_qty,annual_procurement_qty,bucket,human_review_flag
MAT-OG-000011,CPSE-ONGC,Oil & Gas Upstream,ONGC-HAZIRA-GAS-PLANT,MAT-210553,ERSA,MCCB 400A 3P 50KA THERM-MAG,MOULDED CASE CIRCUIT BREAKER 400A 3P 415V AC 50KA THERMAL MAGNETIC TRIP UNIT IEC 60947-2,EA,ELECTRICAL-SWITCHGEAR,41442.41,0,3,BKT-ELE-MCCB-400A-3P-50KA-00009,False
MAT-PW-000012,CPSE-NTPC,Thermal Power Generation,NTPC-VINDHYACHAL-STPS-4760MW,MAT-589248,HIBE,STUD BOLT 3/4 INCH X 140MM B7 W/2NUTS 2H,HIGH TENSILE ALLOY STEEL STUD BOLT 3/4 INCH X 140MM ASTM A193 B7 WITH 2 HEAVY HEX NUTS ASTM A194 2H,SET,HARDWARE-FASTENERS,455.16,44,188,BKT-FAS-STUD-34INCHX140MM-B7-2H-00010,False
MAT-RP-000013,CPSE-IOCL,Refining & Petrochemicals,IOCL-PARADIP-REFINERY,MAT-752365,ERSA,BEARING BALL 6306 2RS1 C3,DEEP GROOVE BALL BEARING 30X72X19MM RUBBER SEALS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455,EA,MRO-BEARINGS,758.39,10,29,BKT-BRG-DGBB-6306-2RS1-00011,False
MAT-MN-000014,CPSE-CIL,Coal Mining & Extraction,CIL-NCL-SINGRAULI-MINES,MAT-545159,ERSA,GATE VALVE 4 INCH 150# WCB FLGD,GATE VALVE 4 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34,EA,PIPING-VALVES,27317.81,0,5,BKT-VLV-GATE-4INCH-150#-WCB-00012,False
MAT-OG-000015,CPSE-ONGC,Oil & Gas Upstream,ONGC-RAJAHMUNDRY-ASSET,MAT-634803,ERSA,MCB 32A 3P C CURVE 10KA,MINIATURE CIRCUIT BREAKER 32A 3P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,EA,ELECTRICAL-SWITCHGEAR,1221.63,1,6,BKT-ELE-MCB-32A-3P-C-00013,False
MAT-GT-000016,CPSE-GAIL,Gas Transmission & Petrochem,GAIL-VIJAIPUR-COMPRESSOR,MAT-690672,ERSA,BALL VALVE 1 INCH 300# CF8M FLGD,3-PIECE BALL VALVE FULL BORE 1 INCH CLASS 300# FLANGED BODY CF8M PTFE SEAT LEVER OPERATED BS 5351 / ASME B16.34,EA,PIPING-VALVES,5058.98,3,15,BKT-VLV-BALL-1INCH-300#-CF8M-00014,False
MAT-MN-000017,CPSE-CIL,Coal Mining & Extraction,CIL-MCL-SAMBALPUR-MINES,MAT-678155,HIBE,PIPE SMLS CS 4 INCH SCH40 ASTM A106 GR B,SEAMLESS PIPE SIZE 4 INCH WALL THICKNESS SCH40 MATERIAL ASTM A106 GR B ASME B36.10M / B36.19M,MTR,PIPING-TUBES,1863.21,2,10,BKT-PIPE-4INCH-SCH40-ASTMA106GRB-00015,False
MAT-ST-000018,CPSE-SAIL,Steel & Metals,SAIL-BOKARO-STEEL-PLANT,MAT-701547,HIBE,CABLE HT XLPE 11KV 3C X 240 SQMM AL ARMD,11KV GRADE 3C X 240 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,MTR,ELECTRICAL-CABLES,3994.46,8,31,BKT-CBL-HTXLPE-3CX240SQMM-11KV-00016,False
MAT-OG-000019,CPSE-ONGC,Oil & Gas Upstream,ONGC-MUMBAI-HIGH-OFFSHORE,MAT-184807,HIBE,CABLE HT XLPE 11KV 3C X 240 SQMM AL ARMD,11KV GRADE 3C X 240 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,MTR,ELECTRICAL-CABLES,3814.15,4,11,BKT-CBL-HTXLPE-3CX240SQMM-11KV-00016,False
MAT-HE-000020,CPSE-BHEL,Heavy Electrical Engineering,BHEL-TRICHY-BOILER-PLANT,MAT-410122,HIBE,Cable Ht Xlpe 11Kv 3C X 240 Sqmm Al Armd,11KV GRADE 3C X 240 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,MTR,ELECTRICAL-CABLES,4036.47,2,7,BKT-CBL-HTXLPE-3CX240SQMM-11KV-00016,False
MAT-PW-000021,CPSE-NTPC,Thermal Power Generation,NTPC-KORBA-SUPER-THERMAL,MAT-490122,ERSA,RTD PT100 SIMPLEX CL-A 6X200MM,RESISTANCE TEMPERATURE DETECTOR SIMPLEX PT100 3-WIRE CLASS A SHEATH OD 6MM LENGTH 200MM SS316 IEC 60751,EA,INSTRUMENTATION-CONTROL,2355.56,16,79,BKT-INS-RTD-PT100-SIMPLEX-200MM-00017,False
MAT-GT-000022,CPSE-GAIL,Gas Transmission & Petrochem,GAIL-VIJAIPUR-COMPRESSOR,MAT-465129,ERSA,PRESSURE GAUGE 0-25 KG/CM2 DIAL 100MM,INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-25 KG/CM2 DIAL 100MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100,EA,INSTRUMENTATION-CONTROL,2770.3,8,20,BKT-INS-GAUGE-0-25KGCM2-100MM-00018,False
MAT-OG-000023,CPSE-ONGC,Oil & Gas Upstream,ONGC-ANKLESHWAR-ASSET,MAT-710683,ERSA,PRESS GAUGE 0-25 KG/CM2 DIAL 100MM,INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-25 KG/CM2 DIAL 100MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100,EA,INSTRUMENTATION-CONTROL,2802.94,5,25,BKT-INS-GAUGE-0-25KGCM2-100MM-00018,False
MAT-PW-000024,CPSE-NTPC,Thermal Power Generation,NTPC-RAMAGUNDAM-STPS-2600MW,MAT-613277,ERSA,BEARING SPH ROLLER 22314K NORMAL,SPHERICAL ROLLER BEARING 70X150X51MM TAPERED BORE 1:12 NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15,EA,MRO-BEARINGS,11223.35,2,7,BKT-BRG-SPH-22314K-NORMAL-00019,False
MAT-HE-000025,CPSE-BHEL,Heavy Electrical Engineering,BHEL-BHOPAL-HEP,MAT-709723,ERSA,CONTACTOR 32A 3P 230VAC 3TF34,3-POLE POWER CONTACTOR 32A AC-3 415V CONTROL COIL 230V AC 50HZ 1NO+1NC CONTACTS IEC 60947-4-1,EA,ELECTRICAL-SWITCHGEAR,3590.31,6,15,BKT-ELE-CONT-32A-3TF34-230V-00020,False
MAT-MN-000026,CPSE-CIL,Coal Mining & Extraction,CIL-SECL-BILASPUR-MINES,MAT-621251,ERSA,COUPLING SET SIZE HRC-180 RUBBER INSERT ,CENTRIFUGAL PUMP SPARE COUPLING SET SIZE SIZE HRC-180 SPECIFICATION RUBBER INSERT FG260 API 610 / API 682 COMPLIANT,SET,PUMPS-ROTATING-SPARES,4954.66,4,26,BKT-ROT-COUPLINGSET-SIZEHRC-180-00021,False
MAT-RP-000027,CPSE-IOCL,Refining & Petrochemicals,IOCL-PANIPAT-REFINERY,MAT-951091,ERSA,COUPLING SET SIZE HRC-180 RUBBER INSERT,CENTRIFUGAL PUMP SPARE COUPLING SET SIZE SIZE HRC-180 SPECIFICATION RUBBER INSERT FG260 API 610 / API 682 COMPLIANT,SET,PUMPS-ROTATING-SPARES,4747.81,2,9,BKT-ROT-COUPLINGSET-SIZEHRC-180-00021,False
MAT-PW-000028,CPSE-NTPC,Thermal Power Generation,NTPC-RAMAGUNDAM-STPS-2600MW,MAT-435471,HIBE,HEX HEAD BOLT M12 X 40MM GR 8.8,HEXAGONAL HEAD BOLT HIGH TENSILE M12 X 40MM LENGTH PROPERTY CLASS 8.8 IS 1364 / ISO 4014 GALVANIZED,NO,HARDWARE-FASTENERS,31.48,138,350,BKT-FAS-BOLT-M12X40MM-8.8-00022,False
MAT-HE-000029,CPSE-BHEL,Heavy Electrical Engineering,BHEL-TRICHY-BOILER-PLANT,MAT-930335,ERSA,BEARING SPH ROLLER 22218K NORMAL,SPHERICAL ROLLER BEARING 90X160X40MM TAPERED BORE 1:12 NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15,EA,MRO-BEARINGS,7376.18,4,15,BKT-BRG-SPH-22218K-NORMAL-00023,False
MAT-RP-000030,CPSE-IOCL,Refining & Petrochemicals,IOCL-PARADIP-REFINERY,MAT-455721,HIBE,CARTRIDGE FILTER 10 MICRON 20 INCH PP,SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS,EA,FILTERS-CONSUMABLES,494.15,61,213,BKT-FLTR-CART-10MICRON-20INCH-PP-00024,False
MAT-PW-000031,CPSE-NTPC,Thermal Power Generation,NTPC-RAMAGUNDAM-STPS-2600MW,MAT-503511,HIBE,"CARTRIDGE FILTER 10 MICRON 20 "" PP",SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS,EA,FILTERS-CONSUMABLES,546.12,55,171,BKT-FLTR-CART-10MICRON-20INCH-PP-00024,False
MAT-PW-000032,CPSE-NTPC,Thermal Power Generation,NTPC-VINDHYACHAL-STPS-4760MW,MAT-729985,ERSA,PUMP IMPELLER DIA 250MM ASTM A351 CF8M,CENTRIFUGAL PUMP SPARE PUMP IMPELLER SIZE DIA 250MM SPECIFICATION ASTM A351 CF8M API 610 / API 682 COMPLIANT,EA,PUMPS-ROTATING-SPARES,34964.71,5,13,BKT-ROT-PUMPIMPELLER-DIA250MM-00025,False
MAT-RP-000033,CPSE-IOCL,Refining & Petrochemicals,IOCL-MATHURA-REFINERY,MAT-299998,ERSA,MCB 32A 4P C CURVE 10KA,MINIATURE CIRCUIT BREAKER 32A 4P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,EA,ELECTRICAL-SWITCHGEAR,1788.22,8,24,BKT-ELE-MCB-32A-4P-C-00026,False
MAT-HE-000034,CPSE-BHEL,Heavy Electrical Engineering,BHEL-TRICHY-BOILER-PLANT,MAT-233269,HIBE,STUD BOLT 1-1/4 INCH X 200MM B7 W/2NUTS ,HIGH TENSILE ALLOY STEEL STUD BOLT 1-1/4 INCH X 200MM ASTM A193 B7 WITH 2 HEAVY HEX NUTS ASTM A194 2H,SET,HARDWARE-FASTENERS,1518.22,47,124,BKT-FAS-STUD-1-14INCHX200MM-B7-2H-00027,False
MAT-PW-000035,CPSE-NTPC,Thermal Power Generation,NTPC-KORBA-SUPER-THERMAL,MAT-402340,ERSA,BALL VALVE 4 INCH 150# CF8M FLGD,3-PIECE BALL VALVE FULL BORE 4 INCH CLASS 150# FLANGED BODY CF8M PTFE SEAT LEVER OPERATED BS 5351 / ASME B16.34,EA,PIPING-VALVES,34344.06,2,7,BKT-VLV-BALL-4INCH-150#-CF8M-00028,False
MAT-HE-000036,CPSE-BHEL,Heavy Electrical Engineering,BHEL-TRICHY-BOILER-PLANT,MAT-269527,ERSA,GATE VALVE 4 INCH 150# WCB FLGD,GATE VALVE 4 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34,EA,PIPING-VALVES,26637.81,3,9,BKT-VLV-GATE-4INCH-150#-WCB-00029,False
MAT-HE-000037,CPSE-BHEL,Heavy Electrical Engineering,BHEL-TRICHY-BOILER-PLANT,MAT-445867,ERSA,GATE VALVE 3 INCH 150# WCB FLGD,GATE VALVE 3 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34,EA,PIPING-VALVES,16811.08,8,28,BKT-VLV-GATE-3INCH-150#-WCB-00030,False
MAT-RP-000038,CPSE-IOCL,Refining & Petrochemicals,IOCL-MATHURA-REFINERY,MAT-581642,ERSA,BEARING SPH ROLLER 22318K C3,SPHERICAL ROLLER BEARING 90X190X64MM TAPERED BORE 1:12 C3 CLEARANCE BRASS CAGE DIN 635 / ISO 15,EA,MRO-BEARINGS,24632.68,2,5,BKT-BRG-SPH-22318K-C3-00031,False
MAT-ST-000039,CPSE-SAIL,Steel & Metals,SAIL-IISCO-BURNPUR,MAT-258459,ERSA,BEARING BALL 6205 ZZ C3,DEEP GROOVE BALL BEARING 25X52X15MM METAL SHIELDS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455,EA,MRO-BEARINGS,343.52,2,8,BKT-BRG-DGBB-6205-ZZ-00032,False
MAT-RP-000040,CPSE-IOCL,Refining & Petrochemicals,IOCL-HALDIA-REFINERY,MAT-679100,ERSA,GATE VALVE 1 INCH 150# A105 FLGD,GATE VALVE 1 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY A105 TRIM 8 API 600 / API 602 / ASME B16.34,EA,PIPING-VALVES,5336.04,9,28,BKT-VLV-GATE-1INCH-150#-A105-00033,False
MAT-RP-000041,CPSE-IOCL,Refining & Petrochemicals,IOCL-MATHURA-REFINERY,MAT-859426,ERSA,GATE VLV 1 INCH 150# A105 FLGD,GATE VALVE 1 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY A105 TRIM 8 API 600 / API 602 / ASME B16.34,EA,PIPING-VALVES,5733.52,13,44,BKT-VLV-GATE-1INCH-150#-A105-00033,False
MAT-OG-000042,CPSE-ONGC,Oil & Gas Upstream,ONGC-URAN-PROCESSING-PLANT,MAT-787968,ERSA,GATE VALVE 2 INCH 600# A105 FLGD,GATE VALVE 2 INCH CLASS 600# FLANGED RF OS&Y RISING STEM BODY A105 TRIM 8 API 600 / API 602 / ASME B16.34,EA,PIPING-VALVES,25481.81,10,28,BKT-VLV-GATE-2INCH-600#-A105-00034,False
MAT-MN-000043,CPSE-CIL,Coal Mining & Extraction,CIL-SECL-BILASPUR-MINES,MAT-833304,ERSA,BEARING BALL 6210 OPEN C3,DEEP GROOVE BALL BEARING 50X90X20MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,EA,MRO-BEARINGS,1089.86,4,22,BKT-BRG-DGBB-6210-OPEN-00035,False
MAT-ST-000044,CPSE-SAIL,Steel & Metals,SAIL-IISCO-BURNPUR,MAT-692204,HIBE,HEX HEAD BOLT M16 X 80MM GR 8.8,HEXAGONAL HEAD BOLT HIGH TENSILE M16 X 80MM LENGTH PROPERTY CLASS 8.8 IS 1364 / ISO 4014 GALVANIZED,NO,HARDWARE-FASTENERS,95.85,42,212,BKT-FAS-BOLT-M16X80MM-8.8-00036,False
MAT-ST-000045,CPSE-SAIL,Steel & Metals,SAIL-DURGAPUR-STEEL-PLANT,MAT-369115,HIBE,CABLE LT XLPE 1.1KV 4C X 16 SQMM AL ARMD,1.1KV GRADE 4C X 16 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,MTR,ELECTRICAL-CABLES,397.37,2,7,BKT-CBL-LTXLPE-4CX16SQMM-1.1KV-00037,False
MAT-OG-000046,CPSE-ONGC,Oil & Gas Upstream,ONGC-ANKLESHWAR-ASSET,MAT-700087,ERSA,BEARING BALL 6306 ZZ C3,DEEP GROOVE BALL BEARING 30X72X19MM METAL SHIELDS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455,EA,MRO-BEARINGS,716.99,2,13,BKT-BRG-DGBB-6306-ZZ-00038,False
MAT-GT-000047,CPSE-GAIL,Gas Transmission & Petrochem,GAIL-VIJAIPUR-COMPRESSOR,MAT-159307,HIBE,CARTRIDGE FILTER 10 MICRON 20 INCH PP,SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS,EA,FILTERS-CONSUMABLES,412.31,55,189,BKT-FLTR-CART-10MICRON-20INCH-PP-00039,False
MAT-ST-000048,CPSE-SAIL,Steel & Metals,SAIL-BOKARO-STEEL-PLANT,MAT-391462,ERSA,PRESSURE GAUGE 0-100 KG/CM2 DIAL 150MM,INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-100 KG/CM2 DIAL 150MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100,EA,INSTRUMENTATION-CONTROL,4359.38,18,57,BKT-INS-GAUGE-0-100KGCM2-150MM-00040,False
MAT-PW-000049,CPSE-NTPC,Thermal Power Generation,NTPC-DADRI-POWER-STATION,MAT-621888,ERSA,BEARING SPH ROLLER 22316 NORMAL,SPHERICAL ROLLER BEARING 80X170X58MM CYLINDRICAL BORE NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15,EA,MRO-BEARINGS,18209.21,11,32,BKT-BRG-SPH-22316-NORMAL-00041,False
MAT-OG-000050,CPSE-ONGC,Oil & Gas Upstream,ONGC-ANKLESHWAR-ASSET,MAT-198381,ERSA,BEARING SPH ROLLER 22316 NORMAL,SPHERICAL ROLLER BEARING 80X170X58MM CYLINDRICAL BORE NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15,EA,MRO-BEARINGS,19210.96,1,5,BKT-BRG-SPH-22316-NORMAL-00041,False
MAT-RP-000051,CPSE-IOCL,Refining & Petrochemicals,IOCL-PARADIP-REFINERY,MAT-754893,HIBE,CABLE LT XLPE 1.1KV 4C X 50 SQMM AL ARMD,1.1KV GRADE 4C X 50 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,MTR,ELECTRICAL-CABLES,1311.43,9,31,BKT-CBL-LTXLPE-4CX50SQMM-1.1KV-00042,False
MAT-PW-000052,CPSE-NTPC,Thermal Power Generation,NTPC-DADRI-POWER-STATION,MAT-771053,ERSA,BEARING BALL 6312 2RS1 C3,DEEP GROOVE BALL BEARING 60X130X31MM RUBBER SEALS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455,EA,MRO-BEARINGS,2970.54,4,18,BKT-BRG-DGBB-6312-2RS1-00043,False
MAT-GT-000053,CPSE-GAIL,Gas Transmission & Petrochem,GAIL-VIJAIPUR-COMPRESSOR,MAT-792174,ERSA,GATE VALVE 6 INCH 150# WCB FLGD,GATE VALVE 6 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34,EA,PIPING-VALVES,40950.59,0,2,BKT-VLV-GATE-6INCH-150#-WCB-00044,False
MAT-OG-000054,CPSE-ONGC,Oil & Gas Upstream,ONGC-ANKLESHWAR-ASSET,MAT-382012,ERSA,PRESSURE GAUGE 0-40 KG/CM2 DIAL 100MM,INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-40 KG/CM2 DIAL 100MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100,EA,INSTRUMENTATION-CONTROL,3136.51,7,40,BKT-INS-GAUGE-0-40KGCM2-100MM-00045,False
MAT-PW-000055,CPSE-NTPC,Thermal Power Generation,NTPC-DADRI-POWER-STATION,MAT-648495,ERSA,MCB 10A 1P C CURVE 10KA,MINIATURE CIRCUIT BREAKER 10A 1P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,EA,ELECTRICAL-SWITCHGEAR,265.55,12,55,BKT-ELE-MCB-10A-1P-C-00046,False
MAT-ST-000056,CPSE-SAIL,Steel & Metals,SAIL-DURGAPUR-STEEL-PLANT,MAT-917567,HIBE,CARTRIDGE FILTER 10 MICRON 20 INCH PP,SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS,EA,FILTERS-CONSUMABLES,540.75,99,535,BKT-FLTR-CART-10MICRON-20INCH-PP-00047,False
MAT-PW-000057,CPSE-NTPC,Thermal Power Generation,NTPC-SINGRAULI-STPS-2000MW,MAT-696081,ERSA,MCB 32A 4P C CURVE 10KA,MINIATURE CIRCUIT BREAKER 32A 4P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,EA,ELECTRICAL-SWITCHGEAR,1631.71,3,12,BKT-ELE-MCB-32A-4P-C-00048,True
MAT-ST-000058,CPSE-SAIL,Steel & Metals,SAIL-BHILAI-STEEL-PLANT,MAT-645077,ERSA,MCB 32A 4P C CURVE 10KA,MINIATURE CIRCUIT BREAKER 32A 4P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,EA,ELECTRICAL-SWITCHGEAR,2101.94,7,19,BKT-ELE-MCB-32A-4P-C-00048,True
MAT-HE-000059,CPSE-BHEL,Heavy Electrical Engineering,BHEL-TRICHY-BOILER-PLANT,MAT-174740,ERSA,DIFF PRESSURE TRANSMITTER 0-2500 MMWC 4-,SMART DIFF PRESSURE TRANSMITTER RANGE 0-2500 MMWC OUTPUT 4-20MA HART DIAPHRAGM SS316L PROCESS CONN 1/2 INCH NPT ACCURACY 0.065%,EA,INSTRUMENTATION-CONTROL,85201.26,1,5,BKT-INS-XMTR-DIFFPRESSURE-0-2500MMWC-4-20MAHART-00049,False
MAT-ST-000060,CPSE-SAIL,Steel & Metals,SAIL-IISCO-BURNPUR,MAT-684111,ERSA,BEARING SPH ROLLER 22318K C3,SPHERICAL ROLLER BEARING 90X190X64MM TAPERED BORE 1:12 C3 CLEARANCE BRASS CAGE DIN 635 / ISO 15,EA,MRO-BEARINGS,21411.18,15,53,BKT-BRG-SPH-22318K-C3-00050,True
MAT-ST-000061,CPSE-SAIL,Steel & Metals,SAIL-ROURKELA-STEEL-PLANT,MAT-785276,ERSA,BEARING SPH ROLLER 22318K C3,SPHERICAL ROLLER BEARING 90X190X64MM TAPERED BORE 1:12 C3 CLEARANCE BRASS CAGE DIN 635 / ISO 15,EA,MRO-BEARINGS,25811.19,2,16,BKT-BRG-SPH-22318K-C3-00050,True
MAT-PW-000062,CPSE-NTPC,Thermal Power Generation,NTPC-VINDHYACHAL-STPS-4760MW,MAT-327779,HIBE,PIPE SMLS SS 2 INCH SCH40S ASTM A312 TP3,SEAMLESS PIPE SIZE 2 INCH WALL THICKNESS SCH40S MATERIAL ASTM A312 TP316L ASME B36.10M / B36.19M,MTR,PIPING-TUBES,3183.2,8,21,BKT-PIPE-2INCH-SCH40S-ASTMA312TP316L-00051,False
MAT-RP-000063,CPSE-IOCL,Refining & Petrochemicals,IOCL-PARADIP-REFINERY,MAT-465316,HIBE,FLANGE BLRF 4 INCH 150# A105,FORGED CARBON STEEL FLANGE BLRF SIZE 4 INCH CLASS 150# ASTM A105 ASME B16.5,EA,PIPING-FITTINGS,2793.29,3,10,BKT-FLG-BLRF-4INCH-150#-A105-00052,False
MAT-PW-000064,CPSE-NTPC,Thermal Power Generation,NTPC-RAMAGUNDAM-STPS-2600MW,MAT-313661,ERSA,BEARING SPH ROLLER 22222 C3,SPHERICAL ROLLER BEARING 110X200X53MM CYLINDRICAL BORE C3 CLEARANCE BRASS CAGE DIN 635 / ISO 15,EA,MRO-BEARINGS,15850.56,1,9,BKT-BRG-SPH-22222-C3-00053,False
